Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
PENNY,110,0,2,2,2,2,0,2
PENNY,110,30,2,2,2,2,0,2
PENNY,110,60,2,2,2,2,0,2
PENNY,109,0,3,3,2,1,0,2
PENNY,109,30,3,3,2,1,0,2
PENNY,109,60,3,3,2,1,0,2
PENNY,108,0,5,2,3,3,2,2
PENNY,108,30,4,2,3,3,2,2
PENNY,108,60,4,2,3,3,2,2
PENNY,107,0,2,1,2,3,0,2
PENNY,107,30,2,1,2,3,0,2
PENNY,107,60,2,1,2,3,0,2
PENNY,106,0,2,1,2,2,0,2
PENNY,106,30,2,1,2,2,0,2
PENNY,106,60,2,1,2,2,0,2
PENNY,105,0,2,1,2,2,0,2
PENNY,105,30,2,1,2,2,0,2
PENNY,105,60,2,1,2,2,0,2
PENNY,104,0,3,2,3,3,0,2
PENNY,104,30,3,2,3,3,0,2
PENNY,104,60,3,2,3,3,0,2
PENNY,103,0,3,2,1,2,0,2
PENNY,103,30,3,2,1,2,0,2
PENNY,103,60,3,2,1,2,0,2
PENNY,102,0,3,2,3,3,0,2
PENNY,102,30,3,2,3,3,0,2
PENNY,102,60,3,2,3,3,0,2
PENNY,101,0,3,2,3,2,0,2
PENNY,101,30,3,2,3,2,0,2
PENNY,101,60,3,2,3,2,0,2
PENNY,201,0,2,1,1,2,0,2
PENNY,201,30,2,1,1,2,0,2
PENNY,201,60,2,1,1,2,0,2
PENNY,202,0,2,1,2,2,0,2
PENNY,202,30,3,1,2,2,0,2
PENNY,202,60,3,1,3,3,0,2
PENNY,203,0,2,1,1,2,0,2
PENNY,203,30,3,1,1,2,0,2
PENNY,203,60,3,1,1,2,0,2
PENNY,204,0,3,2,3,2,0,2
PENNY,204,30,3,3,4,2,0,2
PENNY,204,60,3,3,4,2,0,2
PENNY,205,0,3,1,2,2,0,2
PENNY,205,30,3,1,2,2,0,2
PENNY,205,60,4,2,2,2,0,2
PENNY,206,0,2,1,2,3,0,2
PENNY,206,30,2,1,2,3,0,2
PENNY,206,60,3,1,2,4,0,2
PENNY,207,0,2,1,2,2,0,2
PENNY,207,30,2,1,2,2,0,2
PENNY,207,60,2,1,3,3,0,2
PENNY,208,0,3,2,2,2,1,2
PENNY,208,30,3,2,2,2,1,2
PENNY,208,60,4,1,2,2,1,2
PENNY,209,0,3,3,2,2,0,2
PENNY,209,30,3,4,3,2,0,2
PENNY,209,60,3,4,3,2,0,2
PENNY,210,0,1,1,1,1,0,2
PENNY,210,30,1,1,1,1,0,2
PENNY,210,60,1,1,1,1,0,0
PENNY,411,0,1,1,1,1,0,0
PENNY,411,30,1,1,1,1,0,0
