Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Duke,110,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
Duke,109,0,30,60,2,2,2,2,0,2,2,3,2,1,2,0,2,2,3,2,2,2,0,2,2.25
Duke,108,0,30,60,3,1,1,1,0,2,1.5,2,1,3,2,0,2,2,3,1,3,1,0,2,2
Duke,107,0,30,60,1,1,3,2,0,2,1.75,1,1,3,3,0,2,2,1,1,2,1,0,2,1.25
Duke,106,0,30,60,1,1,3,1,0,2,1.5,1,1,2,1,0,2,1.25,1,1,2,1,0,2,1.25
Duke,105,0,30,60,1,2,2,1,0,2,1.5,1,2,2,1,0,2,1.5,1,2,1,1,0,2,1.25
Duke,104,0,30,60,5,3,4,3,0,2,3.75,5,3,3,1,0,2,3,4,3,3,2,0,2,3
Duke,103,0,30,60,4,1,2,1,0,2,2,4,1,2,1,0,2,2,1,1,1,1,0,2,1
Duke,102,0,30,60,3,1,3,2,0,2,2.25,1,1,1,2,0,2,1.25,3,1,2,1,0,2,1.75
Duke,101,0,30,60,1,1,2,2,0,2,1.5,2,1,2,2,0,2,1.75,2,1,3,2,0,2,2
Duke,201,0,30,60,1,1,1,1,0,2,1,1,1,1,2,0,2,1.25,1,1,2,2,0,2,1.5
Duke,202,0,30,60,1,1,2,2,0,2,1.5,2,1,1,2,0,2,1.5,1,1,1,2,0,2,1.25
Duke,203,0,30,60,2,1,1,2,0,2,1.5,2,2,1,1,0,2,1.5,1,1,1,1,0,2,1
Duke,204,0,30,60,4,3,4,1,1,2,3,5,3,4,1,0,2,3.25,4,3,4,2,0,2,3.25
Duke,205,0,30,60,1,2,2,1,0,2,1.5,1,2,2,1,0,2,1.5,2,1,2,1,0,2,1.5
Duke,206,0,30,60,2,1,2,1,0,2,1.5,1,1,2,1,0,2,1.25,2,1,2,1,0,2,1.5
Duke,207,0,30,60,2,1,1,1,0,2,1.25,3,1,3,2,0,2,2.25,2,1,3,1,0,2,1.75
Duke,208,0,30,60,3,2,2,1,0,2,2,3,3,2,1,0,2,2.25,3,3,1,3,0,2,2.5
Duke,209,0,30,60,2,2,2,2,0,1,2,2,2,2,1,0,2,1.75,2,2,2,2,0,2,2
Duke,210,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,2,1,2,2,2,1,0,0,1.75
Duke,411,0,30,60,2,2,2,1,0,0,1.75,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Duke,410,0,30,60,1,2,2,2,0,2,1.75,2,1,1,1,0,2,1.25,1,1,2,1,0,2,1.25
Duke,409,0,30,60,3,1,1,1,0,2,1.5,2,1,1,1,0,2,1.25,1,1,1,1,0,2,1
