Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
Duke,110,0,1,1,1,1,0,0
Duke,110,30,1,1,1,1,0,2
Duke,110,60,1,1,1,1,0,0
Duke,109,0,2,2,2,2,0,2
Duke,109,30,3,2,1,2,0,2
Duke,109,60,3,2,2,2,0,2
Duke,108,0,3,1,1,1,0,2
Duke,108,30,2,1,3,2,0,2
Duke,108,60,3,1,3,1,0,2
Duke,107,0,1,1,3,2,0,2
Duke,107,30,1,1,3,3,0,2
Duke,107,60,1,1,2,1,0,2
Duke,106,0,1,1,3,1,0,2
Duke,106,30,1,1,2,1,0,2
Duke,106,60,1,1,2,1,0,2
Duke,105,0,1,2,2,1,0,2
Duke,105,30,1,2,2,1,0,2
Duke,105,60,1,2,1,1,0,2
Duke,104,0,5,3,4,3,0,2
Duke,104,30,5,3,3,1,0,2
Duke,104,60,4,3,3,2,0,2
Duke,103,0,4,1,2,1,0,2
Duke,103,30,4,1,2,1,0,2
Duke,103,60,1,1,1,1,0,2
Duke,102,0,3,1,3,2,0,2
Duke,102,30,1,1,1,2,0,2
Duke,102,60,3,1,2,1,0,2
Duke,101,0,1,1,2,2,0,2
Duke,101,30,2,1,2,2,0,2
Duke,101,60,2,1,3,2,0,2
Duke,201,0,1,1,1,1,0,2
Duke,201,30,1,1,1,2,0,2
Duke,201,60,1,1,2,2,0,2
Duke,202,0,1,1,2,2,0,2
Duke,202,30,2,1,1,2,0,2
Duke,202,60,1,1,1,2,0,2
Duke,203,0,2,1,1,2,0,2
Duke,203,30,2,2,1,1,0,2
Duke,203,60,1,1,1,1,0,2
Duke,204,0,4,3,4,1,1,2
Duke,204,30,5,3,4,1,0,2
Duke,204,60,4,3,4,2,0,2
Duke,205,0,1,2,2,1,0,2
Duke,205,30,1,2,2,1,0,2
Duke,205,60,2,1,2,1,0,2
Duke,206,0,2,1,2,1,0,2
Duke,206,30,1,1,2,1,0,2
Duke,206,60,2,1,2,1,0,2
Duke,207,0,2,1,1,1,0,2
Duke,207,30,3,1,3,2,0,2
Duke,207,60,2,1,3,1,0,2
Duke,208,0,3,2,2,1,0,2
Duke,208,30,3,3,2,1,0,2
Duke,208,60,3,3,1,3,0,2
Duke,209,0,2,2,2,2,0,1
Duke,209,30,2,2,2,1,0,2
Duke,209,60,2,2,2,2,0,2
Duke,210,0,1,1,1,1,0,0
Duke,210,30,1,1,1,1,0,2
Duke,210,60,2,2,2,1,0,0
Duke,411,0,2,2,2,1,0,0
Duke,411,30,1,1,1,1,0,2
Duke,411,60,1,1,1,1,0,2
Duke,410,0,1,2,2,2,0,2
Duke,410,30,2,1,1,1,0,2
Duke,410,60,1,1,2,1,0,2
Duke,409,0,3,1,1,1,0,2
Duke,409,30,2,1,1,1,0,2
Duke,409,60,1,1,1,1,0,2
Duke,408,0,3,1,7,9,0,2
Duke,408,30,3,1,9,9,0,2
Duke,408,60,1,1,7,7,0,2
Duke,407,0,2,1,3,3,0,2
Duke,407,30,3,1,3,3,0,2
Duke,407,60,1,1,2,2,0,2
Duke,406,0,1,1,1,1,0,2
Duke,406,30,2,1,1,2,0,2
Duke,406,60,1,1,1,1,0,2
Duke,405,0,1,1,2,1,0,0
Duke,405,30,1,1,2,1,0,0
Duke,405,60,1,1,2,2,0,0
Duke,404,0,4,4,4,2,0,2
Duke,404,30,4,3,3,1,0,2
Duke,404,60,4,3,2,1,0,2
Duke,403,0,3,1,3,3,0,2
Duke,403,30,4,1,3,3,0,2
Duke,403,60,3,1,3,3,0,2
Duke,402,0,3,2,3,2,0,2
Duke,402,30,4,1,4,1,0,2
Duke,402,60,4,1,3,1,0,2
Duke,401,0,3,1,4,3,0,2
Duke,401,30,3,1,4,3,0,2
Duke,401,60,2,1,2,1,0,2
Duke,301,0,2,1,1,3,0,2
Duke,301,30,2,1,4,2,0,2
Duke,301,60,2,1,3,1,0,0
Duke,302,0,3,2,3,3,0,1
Duke,302,30,3,1,4,3,0,2
Duke,302,60,3,1,3,3,0,0
Duke,303,0,3,2,3,1,0,2
Duke,303,30,3,1,4,3,0,2
Duke,303,60,3,1,4,3,0,2
Duke,304,0,4,3,3,2,0,2
Duke,304,30,4,3,2,1,0,2
Duke,304,60,4,2,4,2,0,0
Duke,305,0,1,1,1,2,0,2
Duke,305,30,2,1,3,2,0,2
Duke,305,60,1,1,1,2,0,2
Duke,306,0,2,1,1,2,0,2
Duke,306,30,2,1,1,2,0,2
Duke,306,60,1,1,2,2,0,2
Duke,307,0,2,1,3,2,0,2
Duke,307,30,3,1,3,1,0,2
Duke,307,60,2,1,2,2,0,1
Duke,308,0,3,1,3,2,0,2
Duke,308,30,3,1,3,1,0,2
Duke,308,60,2,1,3,3,0,2
Duke,309,0,2,1,2,1,0,2
Duke,309,30,2,1,1,1,0,2
Duke,309,60,1,1,1,1,0,2
Duke,310,0,1,1,3,1,1,2
Duke,310,30,1,1,4,1,1,2
Duke,310,60,1,1,3,1,0,2
Duke,311,0,1,1,1,1,0,2
Duke,311,30,1,1,1,1,0,2
Duke,311,60,1,1,1,1,0,2
Oreo,110,0,1,1,1,1,0,2
Oreo,110,30,2,2,2,2,0,2
Oreo,110,60,1,2,2,1,0,2
Oreo,109,0,3,3,2,2,1,2
Oreo,109,30,1,3,3,4,0,2
Oreo,109,60,2,3,3,3,0,2
Oreo,108,0,3,3,3,2,0,2
Oreo,108,30,1,3,3,2,0,2
Oreo,108,60,3,3,2,2,0,2
Oreo,107,0,2,1,3,4,0,2
Oreo,107,30,3,2,1,4,0,2
Oreo,107,60,3,1,3,4,0,2
Oreo,106,0,2,1,2,2,0,2
Oreo,106,30,1,1,1,3,0,2
Oreo,106,60,3,1,3,4,0,2
Oreo,105,0,2,2,2,1,0,1
Oreo,105,30,1,1,1,1,0,2
Oreo,105,60,1,2,2,1,0,2
Oreo,104,0,3,3,3,3,0,1
Oreo,104,30,4,3,2,3,0,2
Oreo,104,60,1,3,3,2,0,0
Oreo,103,0,3,1,1,2,0,2
Oreo,103,30,3,1,1,1,0,2
Oreo,103,60,1,1,1,1,0,1
Oreo,102,0,3,1,2,2,0,2
Oreo,102,30,1,1,2,1,0,2
Oreo,102,60,3,1,2,1,0,2
Oreo,101,0,2,1,4,3,0,2
Oreo,101,30,3,1,2,2,0,2
Oreo,101,60,4,1,3,2,0,2
Oreo,201,0,3,1,2,2,0,2
Oreo,201,30,3,1,2,1,0,2
Oreo,201,60,3,1,1,1,0,2
Oreo,202,0,3,1,2,2,0,2
Oreo,202,30,3,1,1,1,0,2
Oreo,202,60,3,1,1,2,0,2
Oreo,203,0,2,1,1,1,0,2
Oreo,203,30,3,1,1,1,0,2
Oreo,203,60,3,1,1,1,0,2
Oreo,204,0,4,3,4,4,0,2
Oreo,204,30,4,3,3,3,0,2
Oreo,204,60,4,3,4,2,0,1
Oreo,205,0,1,2,2,1,0,2
Oreo,205,30,1,2,2,3,0,2
Oreo,205,60,1,1,2,1,0,2
Oreo,206,0,1,1,2,2,0,2
Oreo,206,30,2,1,2,3,0,2
Oreo,206,60,3,1,2,1,0,1
Oreo,207,0,3,2,2,1,0,2
Oreo,207,30,3,1,2,2,0,2
Oreo,207,60,3,1,3,2,0,2
Oreo,208,0,3,3,3,1,0,2
Oreo,208,30,2,2,3,3,0,2
Oreo,208,60,2,2,2,3,0,2
Oreo,209,0,2,3,2,4,0,2
Oreo,209,30,3,2,2,4,1,2
Oreo,209,60,3,3,2,4,0,2
Oreo,210,0,1,1,1,1,0,2
Oreo,210,30,2,2,2,2,0,2
Oreo,210,60,1,1,1,1,0,0
Oreo,411,0,1,1,1,1,0,2
Oreo,411,30,2,2,1,1,0,0
Oreo,411,60,1,1,1,1,0,0
Oreo,410,0,1,2,2,1,0,0
Oreo,410,30,1,3,3,1,0,2
Oreo,410,60,1,2,2,1,0,2
Oreo,409,0,1,1,2,1,0,2
Oreo,409,30,1,1,1,1,0,2
Oreo,409,60,2,1,3,1,0,2
Oreo,408,0,1,1,6,6,0,2
Oreo,408,30,1,1,5,5,0,2
Oreo,408,60,1,1,6,7,0,2
Oreo,407,0,1,1,2,1,0,2
Oreo,407,30,1,1,2,1,0,2
Oreo,407,60,1,1,1,1,0,0
Oreo,406,0,2,1,1,1,0,2
Oreo,406,30,1,1,1,1,0,2
Oreo,406,60,1,1,2,1,0,2
Oreo,405,0,3,1,2,2,0,2
Oreo,405,30,1,1,1,1,0,2
Oreo,405,60,1,1,1,1,0,0
Oreo,404,0,4,3,3,1,0,2
Oreo,404,30,4,3,3,2,0,2
Oreo,404,60,4,2,3,2,0,2
Oreo,403,0,4,1,4,2,0,2
Oreo,403,30,4,1,3,1,0,2
Oreo,403,60,4,1,3,2,0,2
Oreo,402,0,3,1,3,2,0,2
Oreo,402,30,3,1,3,3,0,2
Oreo,402,60,3,1,3,3,0,2
Oreo,401,0,2,1,3,3,0,2
Oreo,401,30,1,1,3,1,0,2
Oreo,401,60,1,1,3,3,0,2
Oreo,301,0,3,2,4,1,0,2
Oreo,301,30,3,2,3,3,0,2
Oreo,301,60,2,1,3,3,0,2
Oreo,302,0,4,1,4,1,0,2
Oreo,302,30,3,1,4,1,0,2
Oreo,302,60,3,1,3,1,0,2
Oreo,303,0,3,1,4,3,0,2
Oreo,303,30,4,1,3,1,0,2
Oreo,303,60,3,1,4,3,0,2
Oreo,304,0,4,4,3,3,0,2
Oreo,304,30,4,3,3,3,0,2
Oreo,304,60,4,3,4,2,0,2
Oreo,305,0,1,1,3,3,0,1
Oreo,305,30,3,2,3,3,0,2
Oreo,305,60,1,1,2,2,0,1
Oreo,306,0,1,1,2,1,0,2
Oreo,306,30,3,1,1,2,0,2
Oreo,306,60,1,1,3,2,0,2
Oreo,307,0,1,1,2,1,0,2
Oreo,307,30,1,1,1,1,0,2
Oreo,307,60,1,1,1,1,0,2
Oreo,308,0,1,1,3,1,0,0
Oreo,308,30,1,1,3,1,0,2
Oreo,308,60,1,1,2,1,0,2
Oreo,309,0,2,1,3,1,0,2
Oreo,309,30,3,1,2,1,0,2
Oreo,309,60,2,1,2,1,0,2
Oreo,310,0,1,2,2,1,0,2
Oreo,310,30,1,1,2,1,0,2
Oreo,310,60,1,1,1,1,0,2
Oreo,311,0,1,1,1,1,0,2
Oreo,311,30,1,1,1,1,0,2
Oreo,311,60,1,1,1,1,0,0
Kobe,110,0,2,2,2,2,0,2
Kobe,110,30,2,1,2,2,0,2
Kobe,110,60,1,1,1,1,0,2
Kobe,109,0,3,3,3,2,0,2
Kobe,109,30,3,3,3,2,0,2
Kobe,109,60,2,3,3,2,0,2
Kobe,108,0,3,2,3,3,0,2
Kobe,108,30,3,2,3,3,0,2
Kobe,108,60,3,2,1,2,0,2
Kobe,107,0,3,1,3,2,0,2
Kobe,107,30,1,1,3,2,0,2
Kobe,107,60,2,1,3,1,0,2
Kobe,106,0,2,2,3,2,0,2
Kobe,106,30,1,2,1,2,0,2
Kobe,106,60,1,2,2,1,0,2
Kobe,105,0,2,2,2,1,0,2
Kobe,105,30,1,2,1,2,0,2
Kobe,105,60,2,2,2,1,0,2
Kobe,104,0,4,3,3,4,0,2
Kobe,104,30,4,3,2,4,0,2
Kobe,104,60,4,3,2,4,0,2
Kobe,103,0,3,1,1,1,0,2
Kobe,103,30,3,1,1,1,0,2
Kobe,103,60,1,1,1,1,0,2
Kobe,102,0,3,1,3,2,0,2
Kobe,102,30,3,1,3,2,0,2
Kobe,102,60,3,1,3,2,0,2
Kobe,101,0,4,1,2,2,0,2
Kobe,101,30,3,2,2,2,0,2
Kobe,101,60,2,1,2,1,0,2
Kobe,201,0,3,1,3,2,0,2
Kobe,201,30,3,1,3,3,0,2
Kobe,201,60,2,1,2,2,0,2
Kobe,202,0,2,1,3,2,0,2
Kobe,202,30,2,1,3,2,0,2
Kobe,202,60,1,1,1,1,0,2
Kobe,203,0,3,2,2,2,0,2
Kobe,203,30,3,1,1,1,0,2
Kobe,203,60,2,1,1,2,0,2
