,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
0,Penny,110,0,30,60,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
1,Penny,109,0,30,60,3.0,3.0,2.0,1.0,0.0,2.0,2.25,3.0,3.0,2.0,1.0,0.0,2.0,2.25,3.0,3.0,2.0,1.0,0.0,2.0,2.25
2,Penny,108,0,30,60,5.0,2.0,3.0,3.0,2.0,2.0,3.25,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0
3,Penny,107,0,30,60,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0
4,Penny,106,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,2.0,0.0,2.0,1.75
5,Penny,105,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,2.0,0.0,2.0,1.75
6,Penny,104,0,30,60,3.0,2.0,3.0,3.0,0.0,2.0,2.75,3.0,2.0,3.0,3.0,0.0,2.0,2.75,3.0,2.0,3.0,3.0,0.0,2.0,2.75
7,Penny,103,0,30,60,3.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0
8,Penny,102,0,30,60,3.0,2.0,3.0,3.0,0.0,2.0,2.75,3.0,2.0,3.0,3.0,0.0,2.0,2.75,3.0,2.0,3.0,3.0,0.0,2.0,2.75
9,Penny,101,0,30,60,3.0,2.0,3.0,2.0,0.0,2.0,2.5,3.0,2.0,3.0,2.0,0.0,2.0,2.5,3.0,2.0,3.0,2.0,0.0,2.0,2.5
10,Penny,201,0,30,60,2.0,1.0,1.0,2.0,0.0,2.0,1.5,2.0,1.0,1.0,2.0,0.0,2.0,1.5,2.0,1.0,1.0,2.0,0.0,2.0,1.5
11,Penny,202,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,3.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,2.5
12,Penny,203,0,30,60,2.0,1.0,1.0,2.0,0.0,2.0,1.5,3.0,1.0,1.0,2.0,0.0,2.0,1.75,3.0,1.0,1.0,2.0,0.0,2.0,1.75
13,Penny,204,0,30,60,3.0,2.0,3.0,2.0,0.0,2.0,2.5,3.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,2.0,0.0,2.0,3.0
14,Penny,205,0,30,60,3.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,2.5
15,Penny,206,0,30,60,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,2.0,2.5
16,Penny,207,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,3.0,3.0,0.0,2.0,2.25
17,Penny,208,0,30,60,3.0,2.0,2.0,2.0,1.0,2.0,2.25,3.0,2.0,2.0,2.0,1.0,2.0,2.25,4.0,1.0,2.0,2.0,1.0,2.0,2.25
18,Penny,209,0,30,60,3.0,3.0,2.0,2.0,0.0,2.0,2.5,3.0,4.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,3.0
19,Penny,210,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
20,Penny,411,0,30,60,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.5
21,Penny,410,0,30,60,1.0,2.0,1.0,1.0,0.0,2.0,1.25,1.0,2.0,1.0,1.0,0.0,2.0,1.25,1.0,3.0,2.0,1.0,0.0,2.0,1.75
22,Penny,409,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,1.75,3.0,2.0,3.0,1.0,0.0,2.0,2.25
23,Penny,408,0,30,60,1.0,1.0,2.0,2.0,0.0,2.0,1.5,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0
24,Penny,407,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
25,Penny,406,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
26,Penny,405,0,30,60,1.0,1.0,2.0,1.0,0.0,0.0,1.25,1.0,1.0,2.0,1.0,0.0,2.0,1.25,1.0,1.0,3.0,1.0,0.0,0.0,1.5
27,Penny,404,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,2.5
28,Penny,403,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.25,1.0,1.0,3.0,3.0,0.0,2.0,2.0
29,Penny,402,0,30,60,1.0,1.0,3.0,2.0,0.0,2.0,1.75,1.0,1.0,3.0,2.0,0.0,0.0,1.75,1.0,1.0,3.0,2.0,0.0,0.0,1.75
