,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
0,Duke,110,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
1,Duke,109,0,30,60,2,2,2,2,0,2,2,3,2,1,2,0,2,2,3,2,2,2,0,2,2
2,Duke,108,0,30,60,3,1,1,1,0,2,1,2,1,3,2,0,2,2,3,1,3,1,0,2,2
3,Duke,107,0,30,60,1,1,3,2,0,2,1,1,1,3,3,0,2,2,1,1,2,1,0,2,1
4,Duke,106,0,30,60,1,1,3,1,0,2,1,1,1,2,1,0,2,1,1,1,2,1,0,2,1
5,Duke,105,0,30,60,1,2,2,1,0,2,1,1,2,2,1,0,2,1,1,2,1,1,0,2,1
6,Duke,104,0,30,60,5,3,4,3,0,2,3,5,3,3,1,0,2,3,4,3,3,2,0,2,3
7,Duke,103,0,30,60,4,1,2,1,0,2,2,4,1,2,1,0,2,2,1,1,1,1,0,2,1
8,Duke,102,0,30,60,3,1,3,2,0,2,2,1,1,1,2,0,2,1,3,1,2,1,0,2,1
9,Duke,101,0,30,60,1,1,2,2,0,2,1,2,1,2,2,0,2,1,2,1,3,2,0,2,2
10,Duke,201,0,30,60,1,1,1,1,0,2,1,1,1,1,2,0,2,1,1,1,2,2,0,2,1
11,Duke,202,0,30,60,1,1,2,2,0,2,1,2,1,1,2,0,2,1,1,1,1,2,0,2,1
12,Duke,203,0,30,60,2,1,1,2,0,2,1,2,2,1,1,0,2,1,1,1,1,1,0,2,1
13,Duke,204,0,30,60,4,3,4,1,1,2,3,5,3,4,1,0,2,3,4,3,4,2,0,2,3
14,Duke,205,0,30,60,1,2,2,1,0,2,1,1,2,2,1,0,2,1,2,1,2,1,0,2,1
15,Duke,206,0,30,60,2,1,2,1,0,2,1,1,1,2,1,0,2,1,2,1,2,1,0,2,1
16,Duke,207,0,30,60,2,1,1,1,0,2,1,3,1,3,2,0,2,2,2,1,3,1,0,2,1
17,Duke,208,0,30,60,3,2,2,1,0,2,2,3,3,2,1,0,2,2,3,3,1,3,0,2,2
18,Duke,209,0,30,60,2,2,2,2,0,1,2,2,2,2,1,0,2,1,2,2,2,2,0,2,2
19,Duke,210,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,2,1,2,2,2,1,0,0,1
20,Duke,411,0,30,60,2,2,2,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
21,Duke,410,0,30,60,1,2,2,2,0,2,1,2,1,1,1,0,2,1,1,1,2,1,0,2,1
22,Duke,409,0,30,60,3,1,1,1,0,2,1,2,1,1,1,0,2,1,1,1,1,1,0,2,1
23,Duke,408,0,30,60,3,1,7,9,0,2,5,3,1,7,9,0,2,5,1,1,7,7,0,2,4
24,Duke,407,0,30,60,2,1,3,3,0,2,2,3,1,3,3,0,2,2,1,1,2,2,0,2,1
25,Duke,406,0,30,60,1,1,1,1,0,2,1,2,1,1,2,0,2,1,1,1,1,1,0,2,1
26,Duke,405,0,30,60,1,1,2,1,0,0,1,1,1,2,1,0,0,1,1,1,2,2,0,0,1
27,Duke,404,0,30,60,4,4,4,2,0,2,3,4,3,3,1,0,2,2,4,3,2,1,0,2,2
28,Duke,403,0,30,60,3,1,3,3,0,2,2,4,1,3,3,0,2,2,3,1,3,3,0,2,2
29,Duke,402,0,30,60,3,2,3,2,0,2,2,4,1,4,1,0,2,2,4,1,3,1,0,2,2
30,Duke,401,0,30,60,3,1,4,3,0,2,2,3,1,4,3,0,2,2,2,1,2,1,0,2,1
31,Duke,301,0,30,60,2,1,1,3,0,2,1,2,1,4,2,0,2,2,2,1,3,1,0,0,1
32,Duke,302,0,30,60,3,2,3,3,0,1,2,3,1,4,3,0,2,2,3,1,3,3,0,0,2
33,Duke,303,0,30,60,3,2,3,1,0,2,2,3,1,4,3,0,2,2,3,1,4,3,0,2,2
34,Duke,304,0,30,60,4,3,3,2,0,2,3,4,3,2,1,0,2,2,4,2,4,2,0,0,3
35,Duke,305,0,30,60,1,1,1,2,0,2,1,2,1,3,2,0,2,2,1,1,1,2,0,2,1
36,Duke,306,0,30,60,2,1,1,2,0,2,1,2,1,1,2,0,2,1,1,1,2,2,0,2,1
37,Duke,307,0,30,60,2,1,3,2,0,2,2,3,1,3,1,0,2,2,2,1,2,2,0,1,1
38,Duke,308,0,30,60,3,1,3,2,0,2,2,3,1,3,1,0,2,2,2,1,3,3,0,2,2
39,Duke,309,0,30,60,2,1,2,1,0,2,1,2,1,1,1,0,2,1,1,1,1,1,0,2,1
40,Duke,310,0,30,60,1,1,3,1,1,2,1,1,1,4,1,1,2,1,1,1,3,1,0,2,1
41,Duke,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
42,Oreo,110,0,30,60,1,1,1,1,0,2,1,2,2,2,2,0,2,2,1,2,2,1,0,2,1
43,Oreo,109,0,30,60,3,3,2,2,1,2,2,1,3,3,4,0,2,2,2,3,3,3,0,2,2
44,Oreo,108,0,30,60,3,3,3,2,0,2,2,1,3,3,2,0,2,2,3,3,2,2,0,2,2
45,Oreo,107,0,30,60,2,1,3,4,0,2,2,3,2,1,4,0,2,2,3,1,3,4,0,2,2
46,Oreo,106,0,30,60,2,1,2,2,0,2,1,1,1,1,3,0,2,1,3,1,3,4,0,2,2
47,Oreo,105,0,30,60,2,2,2,1,0,1,1,1,1,1,1,0,2,1,1,2,2,1,0,2,1
48,Oreo,104,0,30,60,3,3,3,3,0,1,3,4,3,2,3,0,2,3,1,3,3,2,0,0,2
49,Oreo,103,0,30,60,3,1,1,2,0,2,1,3,1,1,1,0,2,1,1,1,1,1,0,1,1
50,Oreo,102,0,30,60,3,1,2,2,0,2,2,1,1,2,1,0,2,1,3,1,2,1,0,2,1
51,Oreo,101,0,30,60,2,1,4,3,0,2,2,3,1,2,2,0,2,2,4,1,3,2,0,2,2
52,Oreo,201,0,30,60,3,1,2,2,0,2,2,3,1,2,1,0,2,1,3,1,1,1,0,2,1
53,Oreo,202,0,30,60,3,1,2,2,0,2,2,3,1,1,1,0,2,1,3,1,1,2,0,2,1
54,Oreo,203,0,30,60,2,1,1,1,0,2,1,3,1,1,1,0,2,1,3,1,1,1,0,2,1
55,Oreo,204,0,30,60,4,3,4,4,0,2,3,4,3,3,3,0,2,3,4,3,4,2,0,1,3
56,Oreo,205,0,30,60,1,2,2,1,0,2,1,1,2,2,3,0,2,2,1,1,2,1,0,2,1
57,Oreo,206,0,30,60,1,1,2,2,0,2,1,2,1,2,3,0,2,2,3,1,2,1,0,1,1
58,Oreo,207,0,30,60,3,2,2,1,0,2,2,3,1,2,2,0,2,2,3,1,3,2,0,2,2
59,Oreo,208,0,30,60,3,3,3,1,0,2,2,2,2,3,3,0,2,2,2,2,2,3,0,2,2
60,Oreo,209,0,30,60,2,3,2,4,0,2,2,3,2,2,4,1,2,2,3,3,2,4,0,2,3
61,Oreo,210,0,30,60,1,1,1,1,0,2,1,2,2,2,2,0,2,2,1,1,1,1,0,0,1
62,Oreo,411,0,30,60,1,1,1,1,0,2,1,2,2,1,1,0,0,1,1,1,1,1,0,0,1
